year,start_date,lowest_date,end_date,start_price,lowest_price,end_price,days_of_recovery,months_of_recovery,years_of_recovery,abs_percentage_loss
2007,2007-10-9,2009-03-09,2013-03-28,1565.150024,676.530029,1569.189941,1997.0,65.6112035154726,5.46760029295605,0.5677538775030553
2000,2000-03-27,2002-10-09,2007-05-21,1523.859985,776.76001,1525.099976,2611.0,85.78410234296392,7.148675195246994,0.49026812328824293
1990,1990-07-16,1990-10-11,1991-02-13,368.950012,295.459991,369.019989,212.0,6.965235425778763,0.5804362854815637,0.19918693213106606
1987,1987-08-25,1987-12-04,1989-07-26,336.769989,223.919998,338.049988,701.0,23.031273742787327,1.919272811898944,0.3350951530303967
1980,1980-11-28,1982-08-12,1982-11-03,140.520004,102.41999799999999,142.869995,705.0,23.162693279122774,1.930224439926898,0.27113581636391076
1973,1973-01-11,1974-10-03,1980-07-17,120.239998,62.279999,121.440002,2744.0,90.15380192611758,7.512816827176465,0.482035927844909
1968,1968-11-29,1970-05-26,1972-03-06,108.370003,69.290001,108.769997,1193.0,39.19587671204747,3.2663230593372896,0.360616415227007
1966,1966-02-09,1966-10-07,1967-05-04,94.059998,73.199997,94.32,449.0,14.751842953654078,1.2293202461378399,0.22177335151548694
1961,1961-12-12,1962-06-26,1963-09-03,72.639999,52.32,72.660004,630.0,20.698576972833116,1.7248814144027598,0.27973567290385015
1956,1956-08-02,1957-10-22,1958-09-24,49.639998999999996,38.98,49.779999,783.0,25.725374237664017,2.1437811864720016,0.2147461566226059
1946,1946-05-29,1949-06-13,1950-06-09,19.25,13.55,19.26,1472.0,48.362389371445,4.030199114287083,0.2961038961038961
1941,1941-01-10,1942-04-28,1943-02-24,10.86,7.47,10.9,775.0,25.46253516499312,2.1218779304160935,0.31215469613259667
1937,1937-03-10,1942-04-28,1946-02-05,18.67,7.47,18.700001,3254.0,106.90979280888725,8.909149400740604,0.5998928762720943
1929,1929-09-16,1932-06-01,1954-09-22,31.860001,4.4,32.0,9137.0,300.19507587424795,25.016256322853994,0.8618957984339045
